,Data,Cota,Variação,fund_id,PL
241,2013-02-22,1.1596358,0.0153529302,26,4384000.17
242,2013-02-25,1.152491,-0.0061612448,26,4356989.33
243,2013-02-26,1.1486933,-0.0032952101,26,4492632.14
244,2013-02-27,1.146237,-0.0021383428,26,4483025.49
245,2013-02-28,1.1427253,-0.0030636771,26,4469290.89
246,2013-03-01,1.1423563,-0.0003229123,26,4467847.71
247,2013-03-04,1.1423626,0.000055149,26,4467872.26
248,2013-03-05,1.1465,0.0036217922,26,4484053.81
249,2013-03-06,1.1374853,-0.0078627998,26,4448796.79
250,2013-03-07,1.1366833,-0.0007050641,26,4445660.05
251,2013-03-08,1.1565578,0.0174846415,26,4523390.76
252,2013-03-11,1.1386329,-0.0154984904,26,4453285.25
253,2013-03-12,1.1488208,0.0089474843,26,4943130.96
254,2013-03-13,1.1472582,-0.0013601773,26,4916216.89
255,2013-03-14,1.1283434,-0.01648696,26,4835163.18
256,2013-03-15,1.1302446,0.001684948,26,4843310.27
257,2013-03-18,1.1324439,0.001945862,26,4852734.67
258,2013-03-19,1.1274413,-0.0044175257,26,4831297.59
259,2013-03-20,1.1299854,0.0022565255,26,4842199.55
260,2013-03-21,1.130493,0.0004492093,26,4844374.46
261,2013-03-22,1.1339802,0.0030846719,26,4859317.78
262,2013-03-25,1.1324588,-0.001341646,26,4852798.32
263,2013-03-26,1.1347158,0.0019930085,26,4982470.17
264,2013-03-27,1.1295362,-0.0045646672,26,4959726.78
265,2013-03-28,1.1362582,0.0059511152,26,4989242.9
266,2013-04-01,1.1392925,0.0026704318,26,5002566.0
267,2013-04-02,1.1397933,0.000439571,26,5004764.98
268,2013-04-03,1.1404059,0.0005374659,26,5007455.09
269,2013-04-04,1.136095,-0.0037801453,26,4988526.27
270,2013-04-05,1.1199859,-0.01417936,26,4917791.84
271,2013-04-08,1.1233502,0.0030038771,26,4932564.44
272,2013-04-09,1.124331,0.0008731026,26,4936871.3
273,2013-04-10,1.1285907,0.003788653,26,4955575.37
274,2013-04-11,1.1333459,0.0042133964,26,4976455.22
275,2013-04-12,1.1521608,0.0166011983,26,5059070.29
276,2013-04-15,1.1554456,0.0028509909,26,5073493.53
277,2013-04-16,1.1584464,0.0025970933,26,5086669.88
278,2013-04-17,1.1578142,-0.0005457309,26,5083894.01
279,2013-04-18,1.1470599,-0.0092884506,26,5036672.27
280,2013-04-19,1.1487213,0.0014483986,26,5043967.61
281,2013-04-22,1.1459669,-0.0023977966,26,5031873.2
282,2013-04-23,1.1425294,-0.0029996503,26,5016779.29
283,2013-04-24,1.1406689,-0.0016284045,26,5008609.66
284,2013-04-25,1.1515425,0.0095326523,26,5056355.4
285,2013-04-26,1.1498576,-0.0014631679,26,5048956.71
286,2013-04-29,1.1431471,-0.00583594,26,5019491.32
287,2013-04-30,1.1388458,-0.0037626829,26,5000604.8
